Language	Split	Size	Replacement	Model	Score
ind	1	500	with	Morfessor	24.52
ind	1	500	with	Seq2seq	63.842
ind	1	500	with	0-CRF	67.872
ind	1	500	with	1-CRF	78.752
ind	1	500	with	2-CRF	79.06
ind	1	500	with	3-CRF	79.214
ind	1	500	with	4-CRF	80.63199999999999
ind	2	500	with	Morfessor	27.436
ind	2	500	with	Seq2seq	65.684
ind	2	500	with	0-CRF	68.946
ind	2	500	with	1-CRF	82.156
ind	2	500	with	3-CRF	82.424
ind	2	500	with	4-CRF	82.97800000000001
ind	2	500	with	2-CRF	83.004
ind	3	500	with	Morfessor	25.872
ind	3	500	with	Seq2seq	62.208
ind	3	500	with	0-CRF	69.78399999999999
ind	3	500	with	1-CRF	79.922
ind	3	500	with	2-CRF	81.146
ind	3	500	with	3-CRF	81.35
ind	3	500	with	4-CRF	83.21
ind	4	500	with	Morfessor	27.486
ind	4	500	with	Seq2seq	64.306
ind	4	500	with	0-CRF	68.77
ind	4	500	with	1-CRF	79.636
ind	4	500	with	2-CRF	79.97200000000001
ind	4	500	with	3-CRF	79.986
ind	4	500	with	4-CRF	80.946
ind	5	500	with	Morfessor	27.084
ind	5	500	with	Seq2seq	61.688
ind	5	500	with	0-CRF	66.446
ind	5	500	with	2-CRF	81.092
ind	5	500	with	1-CRF	81.268
ind	5	500	with	3-CRF	81.614
ind	5	500	with	4-CRF	83.628
ind	6	500	with	Morfessor	25.354
ind	6	500	with	Seq2seq	66.198
ind	6	500	with	0-CRF	69.982
ind	6	500	with	1-CRF	82.604
ind	6	500	with	2-CRF	83.236
ind	6	500	with	3-CRF	83.614
ind	6	500	with	4-CRF	84.696
ind	7	500	with	Morfessor	26.542
ind	7	500	with	Seq2seq	62.412
ind	7	500	with	0-CRF	65.814
ind	7	500	with	1-CRF	79.16799999999999
ind	7	500	with	2-CRF	79.56
ind	7	500	with	3-CRF	79.71
ind	7	500	with	4-CRF	80.03999999999999
ind	8	500	with	Morfessor	24.272000000000002
ind	8	500	with	Seq2seq	68.86
ind	8	500	with	0-CRF	70.51
ind	8	500	with	1-CRF	82.998
ind	8	500	with	2-CRF	84.394
ind	8	500	with	3-CRF	84.712
ind	8	500	with	4-CRF	84.754
ind	9	500	with	Morfessor	24.75
ind	9	500	with	Seq2seq	66.37
ind	9	500	with	0-CRF	71.548
ind	9	500	with	1-CRF	81.668
ind	9	500	with	2-CRF	82.854
ind	9	500	with	4-CRF	83.618
ind	9	500	with	3-CRF	83.724
ind	10	500	with	Morfessor	26.64
ind	10	500	with	Seq2seq	61.314
ind	10	500	with	0-CRF	69.998
ind	10	500	with	1-CRF	83.456
ind	10	500	with	2-CRF	84.646
ind	10	500	with	3-CRF	84.736
ind	10	500	with	4-CRF	86.25
ind	11	500	with	Morfessor	24.956
ind	11	500	with	Seq2seq	62.678
ind	11	500	with	0-CRF	72.024
ind	11	500	with	1-CRF	82.7
ind	11	500	with	2-CRF	82.778
ind	11	500	with	3-CRF	83.36
ind	11	500	with	4-CRF	84.872
ind	12	500	with	Morfessor	24.008
ind	12	500	with	Seq2seq	68.876
ind	12	500	with	0-CRF	69.592
ind	12	500	with	1-CRF	79.516
ind	12	500	with	2-CRF	82.0
ind	12	500	with	3-CRF	82.152
ind	12	500	with	4-CRF	83.03
ind	13	500	with	Morfessor	25.438
ind	13	500	with	Seq2seq	63.964
ind	13	500	with	0-CRF	69.552
ind	13	500	with	1-CRF	79.8
ind	13	500	with	2-CRF	80.072
ind	13	500	with	3-CRF	80.486
ind	13	500	with	4-CRF	81.646
ind	14	500	with	Morfessor	27.432000000000002
ind	14	500	with	Seq2seq	61.208
ind	14	500	with	0-CRF	66.074
ind	14	500	with	1-CRF	80.88199999999999
ind	14	500	with	2-CRF	81.88
ind	14	500	with	3-CRF	82.3
ind	14	500	with	4-CRF	83.346
ind	15	500	with	Morfessor	25.68
ind	15	500	with	Seq2seq	65.924
ind	15	500	with	0-CRF	73.12
ind	15	500	with	1-CRF	82.664
ind	15	500	with	3-CRF	83.43
ind	15	500	with	2-CRF	83.438
ind	15	500	with	4-CRF	83.896
ind	16	500	with	Morfessor	28.002
ind	16	500	with	Seq2seq	63.936
ind	16	500	with	0-CRF	72.478
ind	16	500	with	1-CRF	84.994
ind	16	500	with	3-CRF	84.998
ind	16	500	with	2-CRF	85.008
ind	16	500	with	4-CRF	87.09
ind	17	500	with	Morfessor	25.592000000000002
ind	17	500	with	Seq2seq	63.762
ind	17	500	with	0-CRF	68.636
ind	17	500	with	1-CRF	78.98
ind	17	500	with	2-CRF	79.672
ind	17	500	with	3-CRF	80.556
ind	17	500	with	4-CRF	82.15599999999999
ind	18	500	with	Morfessor	25.58
ind	18	500	with	Seq2seq	58.736
ind	18	500	with	0-CRF	68.71600000000001
ind	18	500	with	1-CRF	76.772
ind	18	500	with	3-CRF	77.72
ind	18	500	with	2-CRF	78.248
ind	18	500	with	4-CRF	78.652
ind	19	500	with	Morfessor	25.396
ind	19	500	with	Seq2seq	62.564
ind	19	500	with	0-CRF	68.408
ind	19	500	with	1-CRF	79.534
ind	19	500	with	3-CRF	79.592
ind	19	500	with	2-CRF	79.838
ind	19	500	with	4-CRF	80.394
ind	20	500	with	Morfessor	29.044
ind	20	500	with	Seq2seq	59.608
ind	20	500	with	0-CRF	68.132
ind	20	500	with	1-CRF	80.586
ind	20	500	with	2-CRF	81.416
ind	20	500	with	3-CRF	81.928
ind	20	500	with	4-CRF	82.9
ind	21	500	with	Morfessor	26.424
ind	21	500	with	Seq2seq	66.806
ind	21	500	with	0-CRF	73.83
ind	21	500	with	2-CRF	84.648
ind	21	500	with	1-CRF	84.79599999999999
ind	21	500	with	3-CRF	85.32000000000001
ind	21	500	with	4-CRF	85.906
ind	22	500	with	Morfessor	25.118000000000002
ind	22	500	with	Seq2seq	58.65
ind	22	500	with	0-CRF	69.356
ind	22	500	with	1-CRF	85.812
ind	22	500	with	2-CRF	86.004
ind	22	500	with	3-CRF	86.38
ind	22	500	with	4-CRF	87.558
ind	23	500	with	Morfessor	25.686
ind	23	500	with	Seq2seq	66.362
ind	23	500	with	0-CRF	69.386
ind	23	500	with	1-CRF	79.586
ind	23	500	with	2-CRF	81.294
ind	23	500	with	3-CRF	81.584
ind	23	500	with	4-CRF	83.328
ind	24	500	with	Morfessor	24.31
ind	24	500	with	Seq2seq	61.064
ind	24	500	with	0-CRF	68.092
ind	24	500	with	1-CRF	82.212
ind	24	500	with	2-CRF	82.92999999999999
ind	24	500	with	3-CRF	83.512
ind	24	500	with	4-CRF	84.67999999999999
ind	25	500	with	Morfessor	25.64
ind	25	500	with	Seq2seq	57.5
ind	25	500	with	0-CRF	67.876
ind	25	500	with	1-CRF	79.66199999999999
ind	25	500	with	2-CRF	81.158
ind	25	500	with	3-CRF	81.472
ind	25	500	with	4-CRF	83.408
ind	26	500	with	Morfessor	25.802
ind	26	500	with	Seq2seq	61.202
ind	26	500	with	0-CRF	67.644
ind	26	500	with	1-CRF	80.37
ind	26	500	with	2-CRF	80.53999999999999
ind	26	500	with	3-CRF	81.628
ind	26	500	with	4-CRF	82.18
ind	27	500	with	Morfessor	22.508000000000003
ind	27	500	with	Seq2seq	66.208
ind	27	500	with	0-CRF	68.714
ind	27	500	with	1-CRF	79.804
ind	27	500	with	2-CRF	81.336
ind	27	500	with	3-CRF	82.002
ind	27	500	with	4-CRF	82.212
ind	28	500	with	Morfessor	28.342
ind	28	500	with	Seq2seq	65.354
ind	28	500	with	0-CRF	69.672
ind	28	500	with	1-CRF	83.10799999999999
ind	28	500	with	2-CRF	83.67
ind	28	500	with	3-CRF	83.80199999999999
