Language	Split	Size	Replacement	Model	Score
mayo	1	500	with	Morfessor	17.272
mayo	1	500	with	0-CRF	71.126
mayo	1	500	with	Seq2seq	71.202
mayo	1	500	with	4-CRF	75.992
mayo	1	500	with	3-CRF	76.214
mayo	1	500	with	2-CRF	76.332
mayo	1	500	with	1-CRF	76.772
mayo	2	500	with	Morfessor	16.16
mayo	2	500	with	Seq2seq	70.638
mayo	2	500	with	0-CRF	74.518
mayo	2	500	with	4-CRF	76.83
mayo	2	500	with	3-CRF	77.386
mayo	2	500	with	2-CRF	77.476
mayo	2	500	with	1-CRF	78.04
mayo	3	500	with	Morfessor	18.866
mayo	3	500	with	Seq2seq	67.236
mayo	3	500	with	0-CRF	68.89
mayo	3	500	with	1-CRF	74.334
mayo	3	500	with	2-CRF	74.712
mayo	3	500	with	3-CRF	74.834
mayo	3	500	with	4-CRF	75.264
mayo	4	500	with	Morfessor	17.984
mayo	4	500	with	Seq2seq	71.494
mayo	4	500	with	0-CRF	73.72
mayo	4	500	with	1-CRF	80.23
mayo	4	500	with	2-CRF	80.476
mayo	4	500	with	4-CRF	80.872
mayo	4	500	with	3-CRF	80.94200000000001
mayo	5	500	with	Morfessor	17.612000000000002
mayo	5	500	with	Seq2seq	70.692
mayo	5	500	with	0-CRF	74.1
mayo	5	500	with	3-CRF	79.71
mayo	5	500	with	4-CRF	79.784
mayo	5	500	with	1-CRF	80.306
mayo	5	500	with	2-CRF	80.64
mayo	6	500	with	Morfessor	15.686
mayo	6	500	with	Seq2seq	65.452
mayo	6	500	with	0-CRF	67.922
mayo	6	500	with	4-CRF	73.296
mayo	6	500	with	3-CRF	73.336
mayo	6	500	with	1-CRF	73.47
mayo	6	500	with	2-CRF	73.752
mayo	7	500	with	Morfessor	16.496
mayo	7	500	with	Seq2seq	66.666
mayo	7	500	with	0-CRF	68.458
mayo	7	500	with	1-CRF	73.318
mayo	7	500	with	2-CRF	75.238
mayo	7	500	with	3-CRF	75.464
mayo	7	500	with	4-CRF	75.592
mayo	8	500	with	Morfessor	18.904
mayo	8	500	with	Seq2seq	68.458
mayo	8	500	with	0-CRF	69.56400000000001
mayo	8	500	with	1-CRF	74.91
mayo	8	500	with	2-CRF	75.254
mayo	8	500	with	3-CRF	75.416
mayo	8	500	with	4-CRF	75.532
mayo	9	500	with	Morfessor	16.592
mayo	9	500	with	0-CRF	67.172
mayo	9	500	with	Seq2seq	67.708
mayo	9	500	with	3-CRF	70.788
mayo	9	500	with	4-CRF	70.794
mayo	9	500	with	2-CRF	71.544
mayo	9	500	with	1-CRF	71.98
mayo	10	500	with	Morfessor	17.262
mayo	10	500	with	Seq2seq	64.162
mayo	10	500	with	0-CRF	70.69
mayo	10	500	with	1-CRF	73.67
mayo	10	500	with	4-CRF	73.822
mayo	10	500	with	3-CRF	74.408
mayo	10	500	with	2-CRF	74.586
mayo	11	500	with	Morfessor	16.21
mayo	11	500	with	Seq2seq	70.67
mayo	11	500	with	0-CRF	72.658
mayo	11	500	with	1-CRF	78.164
mayo	11	500	with	4-CRF	78.734
mayo	11	500	with	3-CRF	79.18
mayo	11	500	with	2-CRF	79.664
mayo	12	500	with	Morfessor	18.253999999999998
mayo	12	500	with	Seq2seq	68.50399999999999
mayo	12	500	with	0-CRF	69.54
mayo	12	500	with	1-CRF	74.386
mayo	12	500	with	4-CRF	75.238
mayo	12	500	with	3-CRF	75.694
