Language	Split	Size	Replacement	Model	Score
nahuatl	1	500	with	Morfessor	23.698
nahuatl	1	500	with	Seq2seq	57.196
nahuatl	1	500	with	0-CRF	60.066
nahuatl	1	500	with	1-CRF	66.978
nahuatl	1	500	with	2-CRF	67.688
nahuatl	1	500	with	3-CRF	68.548
nahuatl	1	500	with	4-CRF	68.77
nahuatl	2	500	with	Morfessor	26.25
nahuatl	2	500	with	Seq2seq	57.05
nahuatl	2	500	with	0-CRF	62.636
nahuatl	2	500	with	4-CRF	68.688
nahuatl	2	500	with	2-CRF	68.736
nahuatl	2	500	with	1-CRF	68.746
nahuatl	2	500	with	3-CRF	69.522
nahuatl	3	500	with	Morfessor	24.182000000000002
nahuatl	3	500	with	Seq2seq	58.252
nahuatl	3	500	with	0-CRF	59.396
nahuatl	3	500	with	2-CRF	67.208
nahuatl	3	500	with	1-CRF	67.244
nahuatl	3	500	with	3-CRF	67.46600000000001
nahuatl	3	500	with	4-CRF	68.048
nahuatl	4	500	with	Morfessor	22.492
nahuatl	4	500	with	0-CRF	60.604
nahuatl	4	500	with	Seq2seq	61.588
nahuatl	4	500	with	1-CRF	70.282
nahuatl	4	500	with	4-CRF	70.29
nahuatl	4	500	with	3-CRF	70.774
nahuatl	4	500	with	2-CRF	71.026
nahuatl	5	500	with	Morfessor	23.855999999999998
nahuatl	5	500	with	0-CRF	58.266
nahuatl	5	500	with	Seq2seq	59.408
nahuatl	5	500	with	2-CRF	65.908
nahuatl	5	500	with	1-CRF	66.068
nahuatl	5	500	with	3-CRF	67.362
nahuatl	5	500	with	4-CRF	67.574
nahuatl	6	500	with	Morfessor	21.938
nahuatl	6	500	with	Seq2seq	54.762
nahuatl	6	500	with	0-CRF	61.122
nahuatl	6	500	with	4-CRF	68.16799999999999
nahuatl	6	500	with	3-CRF	68.626
nahuatl	6	500	with	2-CRF	69.062
nahuatl	6	500	with	1-CRF	69.246
nahuatl	7	500	with	Morfessor	28.114
nahuatl	7	500	with	Seq2seq	61.01
nahuatl	7	500	with	0-CRF	61.722
nahuatl	7	500	with	1-CRF	69.708
nahuatl	7	500	with	3-CRF	70.67
nahuatl	7	500	with	4-CRF	70.704
nahuatl	7	500	with	2-CRF	70.94
nahuatl	8	500	with	Morfessor	20.086000000000002
nahuatl	8	500	with	0-CRF	58.642
nahuatl	8	500	with	Seq2seq	60.13
nahuatl	8	500	with	2-CRF	67.176
nahuatl	8	500	with	1-CRF	67.44
nahuatl	8	500	with	4-CRF	69.054
nahuatl	8	500	with	3-CRF	69.198
nahuatl	9	500	with	Morfessor	24.11
nahuatl	9	500	with	Seq2seq	60.396
nahuatl	9	500	with	0-CRF	61.81
nahuatl	9	500	with	1-CRF	69.188
nahuatl	9	500	with	2-CRF	69.36
nahuatl	9	500	with	3-CRF	69.66
nahuatl	9	500	with	4-CRF	70.2
nahuatl	10	500	with	Morfessor	25.028
nahuatl	10	500	with	Seq2seq	60.884
nahuatl	10	500	with	0-CRF	61.292
nahuatl	10	500	with	2-CRF	68.834
nahuatl	10	500	with	1-CRF	68.918
nahuatl	10	500	with	4-CRF	69.368
nahuatl	10	500	with	3-CRF	69.684
nahuatl	11	500	with	Morfessor	23.986
nahuatl	11	500	with	0-CRF	59.086
nahuatl	11	500	with	Seq2seq	61.11
nahuatl	11	500	with	2-CRF	67.598
nahuatl	11	500	with	4-CRF	67.64999999999999
nahuatl	11	500	with	1-CRF	68.086
nahuatl	11	500	with	3-CRF	69.056
nahuatl	12	500	with	Morfessor	22.830000000000002
nahuatl	12	500	with	Seq2seq	56.332
nahuatl	12	500	with	0-CRF	58.838
nahuatl	12	500	with	4-CRF	68.47
nahuatl	12	500	with	3-CRF	68.866
nahuatl	12	500	with	1-CRF	68.984
nahuatl	12	500	with	2-CRF	69.702
nahuatl	13	500	with	Morfessor	24.376
nahuatl	13	500	with	Seq2seq	57.138
nahuatl	13	500	with	0-CRF	61.37
nahuatl	13	500	with	1-CRF	67.694
nahuatl	13	500	with	2-CRF	68.128
nahuatl	13	500	with	4-CRF	69.144
nahuatl	13	500	with	3-CRF	69.17
nahuatl	14	500	with	Morfessor	25.712
nahuatl	14	500	with	0-CRF	61.550000000000004
nahuatl	14	500	with	Seq2seq	61.818
nahuatl	14	500	with	1-CRF	70.142
nahuatl	14	500	with	2-CRF	70.338
nahuatl	14	500	with	3-CRF	70.374
nahuatl	14	500	with	4-CRF	71.432
nahuatl	15	500	with	Morfessor	24.009999999999998
nahuatl	15	500	with	0-CRF	58.828
nahuatl	15	500	with	Seq2seq	60.0
nahuatl	15	500	with	4-CRF	67.622
nahuatl	15	500	with	3-CRF	68.182
nahuatl	15	500	with	2-CRF	68.292
nahuatl	15	500	with	1-CRF	68.506
nahuatl	16	500	with	Morfessor	24.846
nahuatl	16	500	with	0-CRF	56.624
nahuatl	16	500	with	Seq2seq	58.068
nahuatl	16	500	with	2-CRF	68.246
nahuatl	16	500	with	4-CRF	68.27
nahuatl	16	500	with	3-CRF	68.818
nahuatl	16	500	with	1-CRF	69.294
nahuatl	17	500	with	Morfessor	23.066
nahuatl	17	500	with	Seq2seq	54.658
nahuatl	17	500	with	0-CRF	60.864000000000004
nahuatl	17	500	with	4-CRF	66.198
nahuatl	17	500	with	2-CRF	66.6
nahuatl	17	500	with	1-CRF	66.642
nahuatl	17	500	with	3-CRF	67.728
nahuatl	18	500	with	Morfessor	24.5
nahuatl	18	500	with	Seq2seq	56.282000000000004
nahuatl	18	500	with	0-CRF	60.0
nahuatl	18	500	with	3-CRF	67.75
nahuatl	18	500	with	2-CRF	68.44
nahuatl	18	500	with	4-CRF	68.798
nahuatl	18	500	with	1-CRF	68.806
nahuatl	19	500	with	Morfessor	25.064
nahuatl	19	500	with	Seq2seq	56.903999999999996
nahuatl	19	500	with	0-CRF	58.852
nahuatl	19	500	with	4-CRF	66.874
nahuatl	19	500	with	1-CRF	67.152
nahuatl	19	500	with	2-CRF	67.48400000000001
nahuatl	19	500	with	3-CRF	67.762
nahuatl	20	500	with	Morfessor	19.462
nahuatl	20	500	with	0-CRF	60.344
nahuatl	20	500	with	Seq2seq	60.452
nahuatl	20	500	with	1-CRF	68.344
nahuatl	20	500	with	2-CRF	69.452
nahuatl	20	500	with	4-CRF	69.59
nahuatl	20	500	with	3-CRF	69.97
nahuatl	21	500	with	Morfessor	22.828
nahuatl	21	500	with	0-CRF	59.18
nahuatl	21	500	with	Seq2seq	60.532000000000004
nahuatl	21	500	with	1-CRF	66.112
nahuatl	21	500	with	2-CRF	66.99
nahuatl	21	500	with	3-CRF	67.494
nahuatl	21	500	with	4-CRF	68.122
nahuatl	22	500	with	Morfessor	23.882
nahuatl	22	500	with	Seq2seq	59.768
nahuatl	22	500	with	0-CRF	63.188
nahuatl	22	500	with	3-CRF	69.336
nahuatl	22	500	with	4-CRF	69.47800000000001
nahuatl	22	500	with	2-CRF	69.558
nahuatl	22	500	with	1-CRF	69.646
nahuatl	23	500	with	Morfessor	21.932
nahuatl	23	500	with	Seq2seq	57.572
nahuatl	23	500	with	0-CRF	59.95
nahuatl	23	500	with	1-CRF	68.25
nahuatl	23	500	with	4-CRF	68.428
nahuatl	23	500	with	2-CRF	69.19800000000001
nahuatl	23	500	with	3-CRF	69.694
nahuatl	24	500	with	Morfessor	21.88
nahuatl	24	500	with	Seq2seq	57.628
nahuatl	24	500	with	0-CRF	59.702
nahuatl	24	500	with	2-CRF	65.482
nahuatl	24	500	with	1-CRF	65.736
nahuatl	24	500	with	3-CRF	66.26599999999999
nahuatl	24	500	with	4-CRF	67.124
nahuatl	25	500	with	Morfessor	23.564
nahuatl	25	500	with	0-CRF	61.028
nahuatl	25	500	with	Seq2seq	61.372
nahuatl	25	500	with	1-CRF	70.892
nahuatl	25	500	with	4-CRF	71.072
nahuatl	25	500	with	3-CRF	71.366
nahuatl	25	500	with	2-CRF	71.408
nahuatl	26	500	with	Morfessor	24.448
nahuatl	26	500	with	0-CRF	59.034
nahuatl	26	500	with	Seq2seq	60.204
nahuatl	26	500	with	1-CRF	66.688
nahuatl	26	500	with	2-CRF	66.696
nahuatl	26	500	with	3-CRF	67.416
nahuatl	26	500	with	4-CRF	67.518
nahuatl	27	500	with	Morfessor	22.556
nahuatl	27	500	with	Seq2seq	54.278
nahuatl	27	500	with	0-CRF	59.196
nahuatl	27	500	with	1-CRF	68.924
nahuatl	27	500	with	2-CRF	69.132
nahuatl	27	500	with	3-CRF	69.752
nahuatl	27	500	with	4-CRF	69.81
nahuatl	28	500	with	Morfessor	22.218
nahuatl	28	500	with	Seq2seq	59.176
nahuatl	28	500	with	0-CRF	61.752
nahuatl	28	500	with	4-CRF	69.06
nahuatl	28	500	with	2-CRF	69.348
nahuatl	28	500	with	1-CRF	69.482
nahuatl	28	500	with	3-CRF	69.838
nahuatl	29	500	with	Morfessor	19.452
nahuatl	29	500	with	Seq2seq	56.542
nahuatl	29	500	with	0-CRF	59.998
nahuatl	29	500	with	1-CRF	67.884
nahuatl	29	500	with	2-CRF	68.674
nahuatl	29	500	with	3-CRF	69.394
nahuatl	29	500	with	4-CRF	69.998
nahuatl	30	500	with	Morfessor	23.0
nahuatl	30	500	with	0-CRF	59.852
nahuatl	30	500	with	Seq2seq	60.386
nahuatl	30	500	with	2-CRF	66.03
nahuatl	30	500	with	1-CRF	66.754
nahuatl	30	500	with	3-CRF	66.782
nahuatl	30	500	with	4-CRF	67.376
