Language	Split	Size	Replacement	Model	Score
persian	1	4000	with	Morfessor	19.272
persian	1	4000	with	0-CRF	58.384
persian	1	4000	with	Seq2seq	66.512
persian	1	4000	with	1-CRF	69.26
persian	1	4000	with	2-CRF	69.396
persian	1	4000	with	4-CRF	69.592
persian	1	4000	with	3-CRF	69.64
persian	2	4000	with	Morfessor	19.776
persian	2	4000	with	0-CRF	59.13
persian	2	4000	with	Seq2seq	67.104
persian	2	4000	with	1-CRF	68.942
persian	2	4000	with	4-CRF	69.062
persian	2	4000	with	2-CRF	69.104
persian	2	4000	with	3-CRF	69.368
persian	3	4000	with	Morfessor	19.96
persian	3	4000	with	0-CRF	56.796
persian	3	4000	with	Seq2seq	65.778
persian	3	4000	with	4-CRF	68.244
persian	3	4000	with	3-CRF	68.61800000000001
persian	3	4000	with	2-CRF	68.702
persian	3	4000	with	1-CRF	68.742
persian	4	4000	with	Morfessor	19.396
persian	4	4000	with	0-CRF	59.124
persian	4	4000	with	Seq2seq	67.42999999999999
persian	4	4000	with	4-CRF	69.816
persian	4	4000	with	1-CRF	69.818
persian	4	4000	with	2-CRF	69.926
persian	4	4000	with	3-CRF	70.10000000000001
persian	5	4000	with	Morfessor	20.262
persian	5	4000	with	0-CRF	59.084
persian	5	4000	with	Seq2seq	66.334
persian	5	4000	with	4-CRF	69.11
persian	5	4000	with	1-CRF	69.192
persian	5	4000	with	3-CRF	69.212
persian	5	4000	with	2-CRF	69.272
persian	6	4000	with	Morfessor	20.576
persian	6	4000	with	0-CRF	59.006
persian	6	4000	with	Seq2seq	67.458
persian	6	4000	with	4-CRF	69.02
persian	6	4000	with	1-CRF	69.238
persian	6	4000	with	2-CRF	69.248
persian	6	4000	with	3-CRF	69.37
persian	7	4000	with	Morfessor	19.492
persian	7	4000	with	0-CRF	58.168
persian	7	4000	with	Seq2seq	67.06
persian	7	4000	with	4-CRF	69.042
persian	7	4000	with	2-CRF	69.116
persian	7	4000	with	1-CRF	69.124
persian	7	4000	with	3-CRF	69.184
persian	8	4000	with	Morfessor	19.204
persian	8	4000	with	0-CRF	58.514
persian	8	4000	with	Seq2seq	67.876
persian	8	4000	with	1-CRF	69.33
persian	8	4000	with	2-CRF	69.632
persian	8	4000	with	4-CRF	69.856
persian	8	4000	with	3-CRF	69.97
persian	9	4000	with	Morfessor	18.658
persian	9	4000	with	0-CRF	58.525999999999996
persian	9	4000	with	Seq2seq	67.388
persian	9	4000	with	3-CRF	68.91
persian	9	4000	with	1-CRF	69.196
persian	9	4000	with	2-CRF	69.296
persian	9	4000	with	4-CRF	69.35
persian	10	4000	with	Morfessor	19.228
persian	10	4000	with	0-CRF	59.58
persian	10	4000	with	Seq2seq	66.672
persian	10	4000	with	1-CRF	69.696
persian	10	4000	with	4-CRF	69.786
persian	10	4000	with	3-CRF	69.79
persian	10	4000	with	2-CRF	69.874
persian	11	4000	with	Morfessor	19.02
persian	11	4000	with	0-CRF	58.312
persian	11	4000	with	Seq2seq	66.87
persian	11	4000	with	2-CRF	68.572
persian	11	4000	with	1-CRF	68.66
persian	11	4000	with	4-CRF	68.80799999999999
persian	11	4000	with	3-CRF	68.82
persian	12	4000	with	Morfessor	18.716
persian	12	4000	with	0-CRF	59.368
persian	12	4000	with	Seq2seq	67.78999999999999
persian	12	4000	with	4-CRF	70.07600000000001
persian	12	4000	with	3-CRF	70.232
persian	12	4000	with	2-CRF	70.526
persian	12	4000	with	1-CRF	70.662
persian	13	4000	with	Morfessor	19.907999999999998
persian	13	4000	with	0-CRF	60.014
persian	13	4000	with	Seq2seq	67.316
persian	13	4000	with	1-CRF	70.044
persian	13	4000	with	3-CRF	70.152
persian	13	4000	with	2-CRF	70.212
persian	13	4000	with	4-CRF	70.30199999999999
persian	14	4000	with	Morfessor	19.792
persian	14	4000	with	0-CRF	58.676
persian	14	4000	with	Seq2seq	67.042
persian	14	4000	with	3-CRF	69.034
persian	14	4000	with	1-CRF	69.11
persian	14	4000	with	2-CRF	69.198
persian	14	4000	with	4-CRF	69.21000000000001
persian	15	4000	with	Morfessor	20.27
persian	15	4000	with	0-CRF	59.058
persian	15	4000	with	Seq2seq	67.468
persian	15	4000	with	2-CRF	69.432
persian	15	4000	with	3-CRF	69.448
persian	15	4000	with	1-CRF	69.5
persian	15	4000	with	4-CRF	69.634
persian	16	4000	with	Morfessor	19.204
persian	16	4000	with	0-CRF	60.211999999999996
persian	16	4000	with	Seq2seq	66.752
persian	16	4000	with	4-CRF	69.944
persian	16	4000	with	3-CRF	70.01
persian	16	4000	with	2-CRF	70.254
persian	16	4000	with	1-CRF	70.27199999999999
persian	17	4000	with	Morfessor	20.104
persian	17	4000	with	0-CRF	57.98
persian	17	4000	with	Seq2seq	66.354
persian	17	4000	with	1-CRF	69.0
persian	17	4000	with	3-CRF	69.124
persian	17	4000	with	2-CRF	69.134
persian	17	4000	with	4-CRF	69.34400000000001
persian	18	4000	with	Morfessor	19.387999999999998
persian	18	4000	with	0-CRF	60.778
persian	18	4000	with	Seq2seq	68.08
persian	18	4000	with	1-CRF	70.506
persian	18	4000	with	2-CRF	70.614
persian	18	4000	with	4-CRF	70.646
persian	18	4000	with	3-CRF	70.664
persian	19	4000	with	Morfessor	19.983999999999998
persian	19	4000	with	0-CRF	58.79
persian	19	4000	with	Seq2seq	66.244
persian	19	4000	with	2-CRF	68.866
persian	19	4000	with	1-CRF	68.872
persian	19	4000	with	3-CRF	68.92
persian	19	4000	with	4-CRF	68.93599999999999
persian	20	4000	with	Morfessor	20.66
persian	20	4000	with	0-CRF	58.746
persian	20	4000	with	Seq2seq	67.396
persian	20	4000	with	2-CRF	69.66799999999999
persian	20	4000	with	3-CRF	69.69
persian	20	4000	with	1-CRF	69.81
persian	20	4000	with	4-CRF	69.81
persian	21	4000	with	Morfessor	19.296
persian	21	4000	with	0-CRF	58.064
persian	21	4000	with	Seq2seq	66.332
persian	21	4000	with	1-CRF	68.304
persian	21	4000	with	4-CRF	68.354
persian	21	4000	with	2-CRF	68.414
persian	21	4000	with	3-CRF	68.622
persian	22	4000	with	Morfessor	20.524
persian	22	4000	with	0-CRF	60.588
persian	22	4000	with	Seq2seq	68.172
persian	22	4000	with	3-CRF	71.272
persian	22	4000	with	4-CRF	71.322
persian	22	4000	with	1-CRF	71.394
persian	22	4000	with	2-CRF	71.49
persian	23	4000	with	Morfessor	20.426
persian	23	4000	with	0-CRF	58.328
persian	23	4000	with	Seq2seq	67.252
persian	23	4000	with	4-CRF	68.366
persian	23	4000	with	2-CRF	68.47
persian	23	4000	with	1-CRF	68.48
persian	23	4000	with	3-CRF	68.73
persian	24	4000	with	Morfessor	19.872
persian	24	4000	with	0-CRF	58.742
persian	24	4000	with	Seq2seq	67.28
persian	24	4000	with	1-CRF	70.022
persian	24	4000	with	3-CRF	70.05199999999999
persian	24	4000	with	2-CRF	70.08
persian	24	4000	with	4-CRF	70.544
persian	25	4000	with	Morfessor	19.542
persian	25	4000	with	0-CRF	59.67
persian	25	4000	with	Seq2seq	67.174
persian	25	4000	with	1-CRF	69.282
persian	25	4000	with	2-CRF	69.362
persian	25	4000	with	4-CRF	69.454
persian	25	4000	with	3-CRF	69.58200000000001
persian	26	4000	with	Morfessor	19.472
persian	26	4000	with	0-CRF	59.126
persian	26	4000	with	Seq2seq	67.462
persian	26	4000	with	1-CRF	69.356
persian	26	4000	with	3-CRF	69.368
persian	26	4000	with	2-CRF	69.41
persian	26	4000	with	4-CRF	69.506
persian	27	4000	with	Morfessor	19.752
persian	27	4000	with	0-CRF	59.056
persian	27	4000	with	Seq2seq	68.98
persian	27	4000	with	4-CRF	69.628
persian	27	4000	with	2-CRF	69.69200000000001
persian	27	4000	with	3-CRF	69.732
persian	27	4000	with	1-CRF	69.766
persian	28	4000	with	Morfessor	19.662
persian	28	4000	with	0-CRF	60.124
persian	28	4000	with	Seq2seq	67.82000000000001
persian	28	4000	with	1-CRF	69.53399999999999
persian	28	4000	with	2-CRF	69.764
persian	28	4000	with	3-CRF	69.82600000000001
persian	28	4000	with	4-CRF	69.82600000000001
persian	29	4000	with	Morfessor	19.124
persian	29	4000	with	0-CRF	58.282000000000004
persian	29	4000	with	Seq2seq	65.50399999999999
persian	29	4000	with	2-CRF	68.16799999999999
persian	29	4000	with	1-CRF	68.376
persian	29	4000	with	3-CRF	68.38
persian	29	4000	with	4-CRF	68.554
persian	30	4000	with	Morfessor	20.336000000000002
persian	30	4000	with	0-CRF	58.112
persian	30	4000	with	Seq2seq	66.088
persian	30	4000	with	3-CRF	69.306
persian	30	4000	with	4-CRF	69.344
persian	30	4000	with	2-CRF	69.548
persian	30	4000	with	1-CRF	69.58200000000001
persian	31	4000	with	Morfessor	19.566
persian	31	4000	with	0-CRF	58.984
persian	31	4000	with	Seq2seq	67.098
persian	31	4000	with	3-CRF	69.688
persian	31	4000	with	1-CRF	69.798
persian	31	4000	with	4-CRF	69.864
persian	31	4000	with	2-CRF	69.914
persian	32	4000	with	Morfessor	20.146
persian	32	4000	with	0-CRF	57.304
persian	32	4000	with	Seq2seq	66.772
persian	32	4000	with	4-CRF	68.61
persian	32	4000	with	3-CRF	68.672
persian	32	4000	with	1-CRF	68.738
persian	32	4000	with	2-CRF	68.814
persian	33	4000	with	Morfessor	20.398
persian	33	4000	with	0-CRF	58.03
persian	33	4000	with	Seq2seq	66.238
persian	33	4000	with	1-CRF	68.098
persian	33	4000	with	2-CRF	68.306
persian	33	4000	with	3-CRF	68.52
persian	33	4000	with	4-CRF	68.624
persian	34	4000	with	Morfessor	19.874
persian	34	4000	with	0-CRF	59.046
persian	34	4000	with	Seq2seq	65.82000000000001
persian	34	4000	with	2-CRF	69.464
persian	34	4000	with	1-CRF	69.546
persian	34	4000	with	3-CRF	69.594
persian	34	4000	with	4-CRF	69.616
persian	35	4000	with	Morfessor	19.992
persian	35	4000	with	0-CRF	59.336
persian	35	4000	with	Seq2seq	65.878
persian	35	4000	with	3-CRF	69.668
persian	35	4000	with	4-CRF	69.694
persian	35	4000	with	1-CRF	69.716
persian	35	4000	with	2-CRF	69.774
persian	36	4000	with	Morfessor	19.73
persian	36	4000	with	0-CRF	59.162
persian	36	4000	with	Seq2seq	67.19800000000001
persian	36	4000	with	3-CRF	69.328
persian	36	4000	with	4-CRF	69.356
persian	36	4000	with	1-CRF	69.638
persian	36	4000	with	2-CRF	69.732
persian	37	4000	with	Morfessor	19.932
persian	37	4000	with	0-CRF	58.136
persian	37	4000	with	Seq2seq	67.016
persian	37	4000	with	2-CRF	68.454
persian	37	4000	with	1-CRF	68.492
persian	37	4000	with	3-CRF	68.672
persian	37	4000	with	4-CRF	68.966
persian	38	4000	with	Morfessor	19.56
persian	38	4000	with	0-CRF	61.26
persian	38	4000	with	Seq2seq	67.906
persian	38	4000	with	1-CRF	70.868
persian	38	4000	with	4-CRF	70.906
persian	38	4000	with	2-CRF	70.91199999999999
persian	38	4000	with	3-CRF	71.048
persian	39	4000	with	Morfessor	20.168
persian	39	4000	with	0-CRF	60.018
persian	39	4000	with	Seq2seq	67.932
persian	39	4000	with	1-CRF	70.702
persian	39	4000	with	4-CRF	70.818
persian	39	4000	with	2-CRF	70.886
persian	39	4000	with	3-CRF	71.01
persian	40	4000	with	Morfessor	20.118000000000002
persian	40	4000	with	0-CRF	58.2
persian	40	4000	with	Seq2seq	66.196
persian	40	4000	with	2-CRF	68.342
persian	40	4000	with	1-CRF	68.352
persian	40	4000	with	3-CRF	68.514
persian	40	4000	with	4-CRF	68.612
persian	41	4000	with	Morfessor	19.686
persian	41	4000	with	0-CRF	57.93
persian	41	4000	with	Seq2seq	66.348
persian	41	4000	with	4-CRF	68.908
persian	41	4000	with	1-CRF	68.962
persian	41	4000	with	2-CRF	68.998
persian	41	4000	with	3-CRF	69.036
persian	42	4000	with	Morfessor	20.06
persian	42	4000	with	0-CRF	57.864
persian	42	4000	with	Seq2seq	66.786
persian	42	4000	with	2-CRF	68.648
persian	42	4000	with	1-CRF	68.658
persian	42	4000	with	3-CRF	68.744
persian	42	4000	with	4-CRF	68.8
persian	43	4000	with	Morfessor	18.146
persian	43	4000	with	0-CRF	58.448
persian	43	4000	with	Seq2seq	66.918
persian	43	4000	with	2-CRF	68.756
persian	43	4000	with	1-CRF	68.804
persian	43	4000	with	3-CRF	68.83
persian	43	4000	with	4-CRF	68.922
persian	44	4000	with	Morfessor	19.134
persian	44	4000	with	0-CRF	60.378
persian	44	4000	with	Seq2seq	66.922
persian	44	4000	with	1-CRF	69.746
persian	44	4000	with	3-CRF	69.788
persian	44	4000	with	2-CRF	69.812
persian	44	4000	with	4-CRF	69.824
persian	45	4000	with	Morfessor	19.804
persian	45	4000	with	0-CRF	58.304
persian	45	4000	with	Seq2seq	66.776
persian	45	4000	with	3-CRF	69.16
persian	45	4000	with	2-CRF	69.194
persian	45	4000	with	1-CRF	69.198
persian	45	4000	with	4-CRF	69.62
persian	46	4000	with	Morfessor	19.532
persian	46	4000	with	0-CRF	58.072
persian	46	4000	with	Seq2seq	66.476
persian	46	4000	with	1-CRF	69.026
persian	46	4000	with	2-CRF	69.15
persian	46	4000	with	4-CRF	69.166
persian	46	4000	with	3-CRF	69.176
persian	47	4000	with	Morfessor	20.128
persian	47	4000	with	0-CRF	58.254000000000005
persian	47	4000	with	Seq2seq	66.95
persian	47	4000	with	1-CRF	69.194
persian	47	4000	with	2-CRF	69.272
persian	47	4000	with	3-CRF	69.456
persian	47	4000	with	4-CRF	69.486
persian	48	4000	with	Morfessor	21.478
persian	48	4000	with	0-CRF	58.36
persian	48	4000	with	Seq2seq	67.204
persian	48	4000	with	1-CRF	68.972
persian	48	4000	with	2-CRF	69.13
persian	48	4000	with	3-CRF	69.204
persian	48	4000	with	4-CRF	69.388
persian	49	4000	with	Morfessor	19.326
persian	49	4000	with	0-CRF	60.506
persian	49	4000	with	Seq2seq	67.084
persian	49	4000	with	1-CRF	70.026
persian	49	4000	with	2-CRF	70.11
persian	49	4000	with	3-CRF	70.33
persian	49	4000	with	4-CRF	70.428
persian	50	4000	with	Morfessor	19.534
persian	50	4000	with	0-CRF	58.764
persian	50	4000	with	Seq2seq	66.786
persian	50	4000	with	1-CRF	69.23
persian	50	4000	with	2-CRF	69.288
persian	50	4000	with	3-CRF	69.302
persian	50	4000	with	4-CRF	69.426
persian	1	4000	without	Morfessor	19.808
persian	1	4000	without	0-CRF	58.65
persian	1	4000	without	Seq2seq	64.908
persian	1	4000	without	3-CRF	67.456
persian	1	4000	without	4-CRF	67.498
persian	1	4000	without	2-CRF	67.626
persian	1	4000	without	1-CRF	67.67999999999999
persian	2	4000	without	Morfessor	20.236
persian	2	4000	without	0-CRF	58.098
persian	2	4000	without	Seq2seq	66.52799999999999
persian	2	4000	without	2-CRF	68.29
persian	2	4000	without	4-CRF	68.58
persian	2	4000	without	1-CRF	68.69800000000001
persian	2	4000	without	3-CRF	68.804
persian	3	4000	without	Morfessor	19.48
persian	3	4000	without	0-CRF	59.554
persian	3	4000	without	Seq2seq	66.78
persian	3	4000	without	1-CRF	69.54
persian	3	4000	without	4-CRF	69.604
persian	3	4000	without	2-CRF	69.69200000000001
persian	3	4000	without	3-CRF	69.78
persian	4	4000	without	Morfessor	20.092000000000002
persian	4	4000	without	0-CRF	57.976
persian	4	4000	without	Seq2seq	64.112
persian	4	4000	without	1-CRF	67.452
persian	4	4000	without	4-CRF	67.54
persian	4	4000	without	3-CRF	67.682
persian	4	4000	without	2-CRF	67.702
persian	5	4000	without	Morfessor	19.722
persian	5	4000	without	0-CRF	59.668
persian	5	4000	without	Seq2seq	66.82600000000001
persian	5	4000	without	2-CRF	70.226
persian	5	4000	without	1-CRF	70.31
persian	5	4000	without	3-CRF	70.38
persian	5	4000	without	4-CRF	70.42
persian	6	4000	without	Morfessor	19.514
persian	6	4000	without	0-CRF	58.096
persian	6	4000	without	Seq2seq	64.666
persian	6	4000	without	4-CRF	67.52
persian	6	4000	without	2-CRF	67.63799999999999
persian	6	4000	without	3-CRF	67.638
persian	6	4000	without	1-CRF	67.682
persian	7	4000	without	Morfessor	19.218
persian	7	4000	without	0-CRF	58.910000000000004
persian	7	4000	without	Seq2seq	65.694
persian	7	4000	without	3-CRF	69.002
persian	7	4000	without	2-CRF	69.008
persian	7	4000	without	4-CRF	69.012
persian	7	4000	without	1-CRF	69.07600000000001
persian	8	4000	without	Morfessor	19.39
persian	8	4000	without	0-CRF	57.632
persian	8	4000	without	Seq2seq	65.53399999999999
persian	8	4000	without	4-CRF	67.66799999999999
persian	8	4000	without	3-CRF	68.016
persian	8	4000	without	1-CRF	68.098
persian	8	4000	without	2-CRF	68.23
persian	9	4000	without	Morfessor	19.086
persian	9	4000	without	0-CRF	58.54
persian	9	4000	without	Seq2seq	66.368
persian	9	4000	without	2-CRF	68.544
persian	9	4000	without	1-CRF	68.614
persian	9	4000	without	3-CRF	68.686
persian	9	4000	without	4-CRF	68.848
persian	10	4000	without	Morfessor	19.036
persian	10	4000	without	0-CRF	57.354
persian	10	4000	without	Seq2seq	65.622
persian	10	4000	without	1-CRF	67.74600000000001
persian	10	4000	without	2-CRF	67.844
persian	10	4000	without	3-CRF	67.964
persian	10	4000	without	4-CRF	68.052
persian	11	4000	without	Morfessor	19.636
persian	11	4000	without	0-CRF	59.76
persian	11	4000	without	Seq2seq	67.376
persian	11	4000	without	4-CRF	69.486
persian	11	4000	without	2-CRF	69.538
persian	11	4000	without	3-CRF	69.55
persian	11	4000	without	1-CRF	69.58800000000001
persian	12	4000	without	Morfessor	19.864
persian	12	4000	without	0-CRF	58.681999999999995
persian	12	4000	without	Seq2seq	65.848
persian	12	4000	without	4-CRF	69.368
persian	12	4000	without	1-CRF	69.502
persian	12	4000	without	3-CRF	69.514
persian	12	4000	without	2-CRF	69.542
persian	13	4000	without	Morfessor	19.372
persian	13	4000	without	0-CRF	59.766
persian	13	4000	without	Seq2seq	67.062
persian	13	4000	without	1-CRF	69.976
persian	13	4000	without	4-CRF	70.16
persian	13	4000	without	2-CRF	70.204
persian	13	4000	without	3-CRF	70.262
persian	14	4000	without	Morfessor	19.188
persian	14	4000	without	0-CRF	57.08
persian	14	4000	without	Seq2seq	65.494
persian	14	4000	without	1-CRF	68.12
persian	14	4000	without	2-CRF	68.134
persian	14	4000	without	4-CRF	68.452
persian	14	4000	without	3-CRF	68.636
persian	15	4000	without	Morfessor	18.944
persian	15	4000	without	0-CRF	57.996
persian	15	4000	without	Seq2seq	66.008
persian	15	4000	without	4-CRF	68.074
persian	15	4000	without	2-CRF	68.17399999999999
persian	15	4000	without	1-CRF	68.242
persian	15	4000	without	3-CRF	68.346
persian	16	4000	without	Morfessor	19.32
persian	16	4000	without	0-CRF	58.45
persian	16	4000	without	Seq2seq	65.116
persian	16	4000	without	1-CRF	68.604
persian	16	4000	without	4-CRF	68.608
persian	16	4000	without	3-CRF	68.616
persian	16	4000	without	2-CRF	68.712
persian	17	4000	without	Morfessor	19.778000000000002
persian	17	4000	without	0-CRF	58.734
persian	17	4000	without	Seq2seq	66.294
persian	17	4000	without	2-CRF	68.76
persian	17	4000	without	1-CRF	68.854
