Language	Split	Size	Replacement	Model	Score
wixarika	1	500	with	Morfessor	37.32
wixarika	1	500	with	0-CRF	60.676
wixarika	1	500	with	Seq2seq	62.772
wixarika	1	500	with	4-CRF	68.958
wixarika	1	500	with	1-CRF	69.136
wixarika	1	500	with	3-CRF	69.75
wixarika	1	500	with	2-CRF	70.188
wixarika	2	500	with	Morfessor	37.662
wixarika	2	500	with	0-CRF	64.666
wixarika	2	500	with	Seq2seq	65.672
wixarika	2	500	with	1-CRF	72.53999999999999
wixarika	2	500	with	2-CRF	72.94
wixarika	2	500	with	3-CRF	73.142
wixarika	2	500	with	4-CRF	73.758
wixarika	3	500	with	Morfessor	36.368
wixarika	3	500	with	0-CRF	60.914
wixarika	3	500	with	Seq2seq	65.572
wixarika	3	500	with	1-CRF	69.80799999999999
wixarika	3	500	with	3-CRF	70.392
wixarika	3	500	with	2-CRF	70.422
wixarika	3	500	with	4-CRF	70.704
wixarika	4	500	with	Morfessor	36.078
wixarika	4	500	with	Seq2seq	60.502
wixarika	4	500	with	0-CRF	61.248
wixarika	4	500	with	3-CRF	68.868
wixarika	4	500	with	1-CRF	68.97
wixarika	4	500	with	4-CRF	69.594
wixarika	4	500	with	2-CRF	69.616
wixarika	5	500	with	Morfessor	35.154
wixarika	5	500	with	0-CRF	57.566
wixarika	5	500	with	Seq2seq	60.982
wixarika	5	500	with	4-CRF	64.53999999999999
wixarika	5	500	with	3-CRF	65.4
wixarika	5	500	with	2-CRF	66.122
wixarika	5	500	with	1-CRF	66.692
wixarika	6	500	with	Morfessor	38.434
wixarika	6	500	with	0-CRF	60.996
wixarika	6	500	with	Seq2seq	63.564
wixarika	6	500	with	1-CRF	69.246
wixarika	6	500	with	4-CRF	69.822
wixarika	6	500	with	3-CRF	70.1
wixarika	6	500	with	2-CRF	70.73
wixarika	7	500	with	Morfessor	38.948
wixarika	7	500	with	0-CRF	64.108
wixarika	7	500	with	Seq2seq	66.208
wixarika	7	500	with	1-CRF	72.458
wixarika	7	500	with	4-CRF	72.832
wixarika	7	500	with	2-CRF	73.156
wixarika	7	500	with	3-CRF	73.78
wixarika	8	500	with	Morfessor	35.908
wixarika	8	500	with	0-CRF	63.246
wixarika	8	500	with	Seq2seq	64.792
wixarika	8	500	with	1-CRF	70.21
wixarika	8	500	with	2-CRF	71.348
wixarika	8	500	with	4-CRF	71.366
wixarika	8	500	with	3-CRF	71.61
wixarika	9	500	with	Morfessor	36.988
wixarika	9	500	with	0-CRF	62.316
wixarika	9	500	with	Seq2seq	67.182
wixarika	9	500	with	1-CRF	69.79
wixarika	9	500	with	2-CRF	71.028
wixarika	9	500	with	3-CRF	71.16199999999999
wixarika	9	500	with	4-CRF	72.018
wixarika	10	500	with	Morfessor	36.396
wixarika	10	500	with	0-CRF	61.66
wixarika	10	500	with	Seq2seq	64.31
wixarika	10	500	with	1-CRF	67.2
wixarika	10	500	with	3-CRF	67.948
wixarika	10	500	with	2-CRF	68.378
wixarika	10	500	with	4-CRF	68.872
wixarika	11	500	with	Morfessor	37.394
wixarika	11	500	with	0-CRF	64.224
wixarika	11	500	with	Seq2seq	64.80199999999999
wixarika	11	500	with	2-CRF	71.176
wixarika	11	500	with	3-CRF	71.22
wixarika	11	500	with	1-CRF	71.846
wixarika	11	500	with	4-CRF	72.17399999999999
wixarika	12	500	with	Morfessor	39.014
wixarika	12	500	with	0-CRF	64.332
wixarika	12	500	with	Seq2seq	65.97200000000001
wixarika	12	500	with	3-CRF	70.422
wixarika	12	500	with	1-CRF	70.626
wixarika	12	500	with	4-CRF	70.732
wixarika	12	500	with	2-CRF	70.878
wixarika	13	500	with	Morfessor	37.738
wixarika	13	500	with	Seq2seq	62.796
wixarika	13	500	with	0-CRF	63.544
wixarika	13	500	with	4-CRF	70.09400000000001
wixarika	13	500	with	1-CRF	70.284
wixarika	13	500	with	2-CRF	70.794
wixarika	13	500	with	3-CRF	71.088
wixarika	14	500	with	Morfessor	36.519999999999996
wixarika	14	500	with	0-CRF	62.108000000000004
wixarika	14	500	with	Seq2seq	63.848
wixarika	14	500	with	1-CRF	69.398
wixarika	14	500	with	3-CRF	69.434
wixarika	14	500	with	2-CRF	69.696
wixarika	14	500	with	4-CRF	70.498
wixarika	15	500	with	Morfessor	39.014
wixarika	15	500	with	0-CRF	62.742
wixarika	15	500	with	Seq2seq	63.717999999999996
wixarika	15	500	with	1-CRF	69.004
wixarika	15	500	with	4-CRF	69.538
wixarika	15	500	with	2-CRF	69.73
wixarika	15	500	with	3-CRF	69.734
wixarika	16	500	with	Morfessor	38.388
wixarika	16	500	with	0-CRF	64.11
wixarika	16	500	with	Seq2seq	66.008
wixarika	16	500	with	1-CRF	72.0
wixarika	16	500	with	4-CRF	72.354
wixarika	16	500	with	2-CRF	72.52
wixarika	16	500	with	3-CRF	72.52
wixarika	17	500	with	Morfessor	39.678
wixarika	17	500	with	0-CRF	65.87
wixarika	17	500	with	Seq2seq	68.364
wixarika	17	500	with	2-CRF	72.03
wixarika	17	500	with	4-CRF	72.556
wixarika	17	500	with	1-CRF	72.752
wixarika	17	500	with	3-CRF	72.984
wixarika	18	500	with	Morfessor	36.89
wixarika	18	500	with	0-CRF	59.59
wixarika	18	500	with	Seq2seq	63.206
wixarika	18	500	with	1-CRF	67.438
wixarika	18	500	with	4-CRF	68.828
wixarika	18	500	with	3-CRF	69.342
wixarika	18	500	with	2-CRF	69.75999999999999
wixarika	19	500	with	Morfessor	36.882
wixarika	19	500	with	0-CRF	61.684
wixarika	19	500	with	Seq2seq	66.602
wixarika	19	500	with	4-CRF	69.674
wixarika	19	500	with	1-CRF	71.702
